7:1890,8964,21555,25911,3943,19550,8355,31694,50065,36176
18:115956,18,1517,55212,38120,78319,109616,47287,31675,7905
19:19480,63138,32986,20378,38807,46443,59733,59083,42632,13694
36:6562,58250,45649,59506,13358,23874,17482,27649,75990,8596
37:1201,19529,4735,46204,19469,43373,2731,16822,19719,37170
41:21798,8,84,77404,36000,8183,55430,73697,77010,78719
42:94996,45739,45757,46019,53363,57402,58963,60856,61218,61331
43:36000,8183,55430,122213,119176,118188,114315,112462,112311,108294
44:1890,8964,25911,21555,19550,3943,31694,8355,50065,847
45:1109,29329,45009,56032,57338,74121,78863,5538,111637,109549
46:1890,8964,25911,21555,3943,19550,8355,31694,847,36176
59:1890,8964,21555,25911,3943,19550,31694,8355,50065,36176
60:54580,17,89167,654,3502,20322,45770,78415,48202,63861
69:19550,17,94996,33438,36676,37883,42339,43109,43260,45739
70:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
94:18747,56318,21798,44957,22872,79550,50168,49978,89079,42807
106:1890,8964,21555,25911,3943,19550,8355,31694,50065,847
115:1890,8964,25911,21555,19550,3943,8355,31694,36176,847
116:81222,9023,180,22745,40121,8456,54389,50844,60085,56529
142:1890,8964,21555,25911,3943,19550,31694,8355,36176,847
143:86747,7911,45758,4968,54752,93049,25048,73067,82401,86292
148:81222,9023,54389,22745,40121,50844,8456,180,99034,101067
150:29221,17191,20325,29592,22353,85482,85120,85113,84090,83569
156:17,75228,654,1201,19529,46204,4735,19469,2731,43373
161:1890,8964,25911,21555,19550,3943,31694,8355,36176,847
171:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
172:1890,8964,21555,25911,3943,19550,31694,8355,50065,847
174:20646,41988,74620,54198,75105,76192,4608,108486,82864,106185
177:45649,58250,6562,23874,13358,59506,27649,75990,17482,8596
196:1890,8964,21555,25911,19550,3943,8355,31694,36176,847
202:1890,8964,25911,21555,19550,3943,31694,8355,50065,36176
211:84037,7961,20421,42090,65081,68526,69552,81535,88072,105408
217:685,16272,15447,77334,15850,38054,75983,69501,64045,43556
220:58456,93455,22713,64973,121130,91741,110410,31622,105943,46819
223:1890,8964,25911,21555,19550,3943,31694,8355,847,50065
224:4589,601,12993,1467,7246,16918,55337,27004,61573,4965
225:1890,8964,25911,21555,3943,19550,8355,31694,847,36176
228:20322,3502,45770,48202,63861,78415,15318,34517,34197,34089
229:1890,8964,25911,21555,19550,3943,31694,8355,36176,847
231:1890,8964,21555,25911,3943,19550,31694,8355,847,36176
232:88929,75577,102080,69488,61943,60930,103819,58761,57428,107429
238:25174,14402,8930,24958,61835,51027,39307,20910,21505,22921
241:119807,17,45649,58250,6562,23874,13358,59506,27649,17482
245:104546,34328,119085,86417,76176,65650,16786,16441,40052,46821
249:20322,3502,45770,48202,78415,15318,63861,66353,66511,66562
250:1890,8964,21555,25911,19550,3943,31694,8355,36176,50065
253:32353,52980,934,8662,68573,58477,31016,28689,82192,47328
257:45649,58250,6562,59506,13358,23874,17482,27649,8596,75990
272:1890,8964,25911,21555,19550,3943,31694,8355,847,50065
273:94996,99180,98650,97932,97115,95743,95040,93956,92374,91386
288:6562,58250,45649,13358,59506,23874,8596,17482,27649,75990
290:36000,8183,55430,64867,60904,60692,54286,49630,48734,43769
291:18747,56318,21798,44957,22872,79550,89079,50168,49978,42807
292:1890,8964,21555,25911,19550,3943,8355,31694,50065,36176
294:3751,9041,38283,1406,37498,81912,19002,2508,3289,7229
328:1890,8964,25911,21555,19550,3943,31694,8355,847,50065
331:8837,4864,13186,54151,39134,41709,13722,3178,34818,35404
345:62840,11401,29573,15950,56860,63444,69549,72784,100792,1754
361:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
376:3751,9041,38283,1406,37498,81912,19002,2508,7229,3289
384:14437,47000,12237,20402,27697,18896,67842,77626,34765,17630
401:1890,8964,21555,25911,19550,3943,31694,8355,847,36176
402:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
410:30069,79677,41699,64499,72566,94518,55941,38063,77844,23782
448:1890,8964,21555,25911,19550,3943,8355,31694,847,50065
449:29221,17191,20325,22353,29592,63788,63161,62427,61458,49691
450:1890,8964,21555,25911,19550,3943,8355,31694,36176,50065
452:749,22563,713,76693,75732,42996,48755,50299,57833,71020
476:398,4807,43222,22279,1451,15599,66608,20493,98471,97772
488:3751,9041,38283,1406,37498,81912,19002,2508,3289,7229
490:3751,9041,38283,1406,37498,81912,19002,2508,3289,7229
494:302,45649,6562,58250,23874,13358,59506,27649,75990,17482
500:30954,21834,30002,8022,12351,42683,41534,27535,22001,86721
514:30954,21834,30002,8022,12351,41534,42683,86721,27535,22001
525:1890,8964,25911,21555,3943,19550,8355,31694,36176,847
535:45649,6562,58250,13358,23874,59506,8596,75990,27649,17482
536:61105,17,79677,30069,41699,94518,77844,72566,64499,55941
538:1890,8964,25911,21555,19550,3943,8355,31694,36176,847
539:45649,6562,58250,59506,13358,23874,17482,27649,75990,8596
564:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
582:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
585:17,354,77305,98123,86031,45303,22250,74792,69198,60437
590:1890,8964,21555,25911,19550,3943,8355,31694,847,50065
601:94414,90819,90054,75023,67228,121660,121234,118676,105155,69110
618:81222,9023,22745,40121,54389,8456,50844,180,39573,39633
624:51394,378,11535,858,20167,64982,40594,67339,79974,18699
627:19731,114599,79211,41261,74606,58992,109677,32661,21439,30281
628:83827,121692,115048,9001,64494,47533,64510,89641,89644,118810
632:12090,15207,36541,65648,87249,28098,32827,40477,59746,19104
633:1890,8964,21555,25911,3943,19550,31694,8355,847,36176
634:9023,81222,8456,22745,40121,180,54389,50844,85146,89618
646:20322,3502,45770,15318,63861,48202,78415,77301,76497,76223
666:7926,76778,99084,7268,108565,17835,16817,23825,31406,45376
667:645,7303,20969,24991,28198,711,909,39371,67136,71491
669:2869,652,51119,74425,98042,16439,17741,94180,95800,103046
678:95743,616,65,5459,21609,42416,93084,92612,90315,86904
680:58250,45649,6562,59506,13358,23874,75990,8596,17482,27649
681:30069,79677,41699,15590,23782,94518,38063,55941,77844,72566
682:94821,23114,36186,111751,112242,75738,75621,112666,112893,112944
683:22855,35676,15918,30603,86473
684:36455,54462,55573,61129,68937,79506,83325,87526,90473,90856
715:77765,203,59850,25188,82049
716:1481,14361,27678,36549,39577,40817,58879,64752,92388,93177
741:301,46042,54704,17487,55268,25153,64753,28268,74406,62215
750:1890,8964,21555,25911,3943,19550,8355,31694,36176,847
754:18747,56318,21798,22872,44957,89079,79550,39954,42807,15715
756:1890,8964,25911,21555,19550,3943,8355,31694,847,50065
757:8489,15787,61819,43900,2936,80332,35783,47259,39630,86112
758:645,20969,7303,24991,28198,711,909,39371,71491,67136
763:45649,58250,6562,23874,13358,59506,27649,75990,17482,8596
773:6149,27982,80259,67762,51019,35583,34770,5882,59350,64979
774:3751,9041,38283,37498,1406,81912,19002,2508,16838,39604
775:1890,8964,21555,25911,19550,3943,31694,8355,36176,847
782:1890,8964,21555,25911,19550,3943,31694,8355,847,50065
784:100771,654,94996,99180,98650,97932,97115,95743,95040,93956
793:1890,8964,21555,25911,19550,3943,31694,8355,36176,50065
803:11485,7013,50816,87271,50433,60567,62809,62832,62904,65301
813:29221,17191,20325,22353,29592,87873,87675,86252,86247,86208
815:1890,8964,21555,25911,3943,19550,31694,8355,50065,847
817:1890,8964,25911,21555,19550,3943,31694,8355,50065,36176
818:12722,11917,17102,48465,74766,36122,35164,31188,67466,78263
823:25174,14402,8930,24958,51027,61835,39307,24195,24486,22921
825:1890,8964,25911,21555,19550,3943,31694,8355,36176,847
833:1890,8964,25911,21555,19550,3943,8355,31694,847,36176
835:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
838:7210,857,10175,817,11754,18606,25030,27534,88044,65469
844:1890,8964,25911,21555,3943,19550,31694,8355,50065,847
850:13083,17934,1763,8788,16024,29730,26787,84118,92022,74973
856:1890,8964,25911,21555,3943,19550,8355,31694,847,50065
857:1890,8964,25911,21555,19550,3943,8355,31694,50065,847
874:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
891:3502,20322,45770,78415,15318,63861,48202,94551,94294,93571
899:508,12203,709,26895,27293,39395,18416,84074,85173,86198
900:12760,49338,12108,57339,74127,80974,74813,34744,46834,47182
911:1890,8964,21555,25911,19550,3943,8355,31694,847,36176
918:29221,17191,20325,29592,22353,15410,13435,12159,8827,7801
925:8489,15787,61819,43900,2936,35783,80332,47259,55051,32326
926:1890,8964,21555,25911,19550,3943,8355,31694,847,36176
937:1890,8964,25911,21555,3943,19550,31694,8355,847,36176
949:31189,22114,34453,96168,121401,109411,107650,105059,85203,73976
964:99823,301,245,26895,84037,5622,7961,20421,42090,65081
970:2026,20931,73537,939,26096,43253,62975,67160,83571,17341
977:302,58250,45649,6562,23874,13358,59506,27649,17482,8596
981:38225,84105,82336,74056,66784,61513,53058,50382,43637,31383
982:11485,7013,87271,50816,50433,15942,17931,19054,23745,33582
984:45649,6562,58250,13358,59506,23874,8596,17482,75990,27649
992:9023,81222,180,22745,40121,50844,54389,8456,50768,49982
993:1890,8964,25911,21555,3943,19550,31694,8355,36176,847
998:18747,56318,21798,44957,22872,116957,49978,42807,50168,39954
1000:6562,58250,45649,23874,59506,13358,27649,8596,17482,75990
1007:6562,58250,45649,59506,13358,23874,8596,17482,27649,75990
1027:50876,14739,12571,33261,23239,98339,70388,78239,47785,40015
1028:3751,9041,38283,37498,1406,81912,19002,2508,3289,7229
1044:1440,20861,18604,24402,57074,39401,60966,34538,29192,83956
1045:6562,45649,58250,23874,13358,59506,17482,27649,75990,8596
1049:14802,20157,23928,24482,47237,53071,57013,58686,59036,60154
1068:4372,30600,5571,34771,35962,37924,39501,45275,47143,48953
1069:1890,8964,25911,21555,3943,19550,31694,8355,847,50065
1070:58250,45649,6562,23874,59506,13358,75990,17482,27649,8596
1082:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
1083:14762,22365,10849,40852,54976,42881,44634,80574,30225,60793
1088:29221,17191,20325,29592,22353,85120,85482,86208,86247,86252
1094:1890,8964,25911,21555,19550,3943,31694,8355,847,50065
1116:1890,8964,25911,21555,3943,19550,31694,8355,847,36176
1121:1890,8964,21555,25911,3943,19550,31694,8355,847,36176
1125:98561,17,18747,56318,21798,22872,44957,89079,15715,12668
1127:65,25174,14402,8930,24958,39307,51027,61835,24486,24195
1132:94996,45739,45757,46019,53363,57402,58963,60856,61218,61331
1133:1890,8964,25911,21555,3943,19550,8355,31694,50065,36176
1140:1890,8964,21555,25911,3943,19550,8355,31694,847,50065
1141:49417,71156,53691,59505,59980,62356,69750,79877,81569,83452
1148:9696,78675,93206,35437,75186,60887,14967,33302,44411,48400
1153:45649,6562,58250,13358,23874,59506,17482,8596,27649,75990
1163:1097,713,22563,75732,76693,5930,25560,14040,17532,118042
1166:65,327,26895,27293,39395,18416,71714,84074,85173,86198
1172:645,7303,20969,24991,28198,711,909,39371,71491,67136
1192:3751,9041,38283,37498,1406,81912,19002,2508,39604,16838
1204:28657,18517,8842,17051,36310,35320,20439,75125,17983,81416
1208:63818,100127,122217,119267,113387,111377,109011,108604,95380,93697
1209:25174,14402,8930,24958,39307,51027,61835,53752,60746,101155
1234:2914,11474,23871,79030,40608,22763,28108,15662,98414,12457
1236:65,9580,498,4728,32858,42167,7116,83198,42265,10242
1245:1890,8964,25911,21555,3943,19550,8355,31694,36176,847
1263:3751,9041,38283,1406,37498,19002,81912,2508,39604,16838
1267:1890,8964,25911,21555,3943,19550,8355,31694,847,50065
1269:1352,14435,122306,121244,108296,93386,85403,80321,70794,69211
1288:13612,73561,74535,78935,88914,93519,51645,67016,37742,117489
1295:1890,8964,25911,21555,19550,3943,8355,31694,36176,847
1296:6562,58250,45649,13358,23874,59506,17482,8596,27649,75990
1302:14437,12237,47000,27697,20402,18896,67842,77626,34765,17630
1305:3751,9041,38283,1406,37498,81912,19002,2508,39604,16838
1342:18747,56318,21798,44957,22872,89079,50168,49978,116957,39954
1382:327,8489,15787,61819,43900,80332,2936,35783,55051,47259
1389:71313,71576,75115,1139,2455,11843,30727,3886,6836,1804
1391:16823,83583,18673,19924,59550,89015,109524,62593,66418,71234
1397:102441,31771,75474,89302,121755,66439,117316,118450,31522,82330
1402:1890,8964,25911,21555,3943,19550,8355,31694,50065,847
1405:17,302,654,76,616,58,8,866,84,29
1407:1324,18420,123012,24542,21143,31815,51254,59548,95618,31591
1408:29221,17191,20325,22353,29592,85482,86208,86247,86252,87675
1409:1890,8964,25911,21555,19550,3943,31694,8355,847,50065
